
Year    Storms  Cat1  Cat2  Cat3  Cat4  Cat5
AL011944 UNNAMED, Start: 1944-07-13 06:00:00 End: 1944-07-20 00:00:00 Duration: 6 days 18 hours, Max Wind: 70 knots, Min Pressure: N/A mb, Landfalls: 0
AL021944 UNNAMED, Start: 1944-07-24 06:00:00 End: 1944-07-27 18:00:00 Duration: 3 days 12 hours, Max Wind: 55 knots, Min Pressure: N/A mb, Landfalls: 0
AL031944 UNNAMED, Start: 1944-07-30 12:00:00 End: 1944-08-04 06:00:00 Duration: 4 days 18 hours, Max Wind: 70 knots, Min Pressure: 985 mb, Landfalls: 1
AL041944 UNNAMED, Start: 1944-08-16 18:00:00 End: 1944-08-24 12:00:00 Duration: 7 days 18 hours, Max Wind: 105 knots, Min Pressure: 973 mb, Landfalls: 0
AL051944 UNNAMED, Start: 1944-08-18 12:00:00 End: 1944-08-23 06:00:00 Duration: 4 days 18 hours, Max Wind: 50 knots, Min Pressure: N/A mb, Landfalls: 0
AL061944 UNNAMED, Start: 1944-09-09 00:00:00 End: 1944-09-11 12:00:00 Duration: 2 days 12 hours, Max Wind: 55 knots, Min Pressure: 992 mb, Landfalls: 0
AL071944 UNNAMED, Start: 1944-09-09 06:00:00 End: 1944-09-16 12:00:00 Duration: 7 days 6 hours, Max Wind: 140 knots, Min Pressure: 918 mb, Landfalls: 2
AL081944 UNNAMED, Start: 1944-09-19 06:00:00 End: 1944-09-22 12:00:00 Duration: 3 days 6 hours, Max Wind: 70 knots, Min Pressure: N/A mb, Landfalls: 0
AL091944 UNNAMED, Start: 1944-09-21 12:00:00 End: 1944-09-28 12:00:00 Duration: 7 days 0 hours, Max Wind: 85 knots, Min Pressure: N/A mb, Landfalls: 0
AL101944 UNNAMED, Start: 1944-09-30 00:00:00 End: 1944-10-03 00:00:00 Duration: 3 days 0 hours, Max Wind: 45 knots, Min Pressure: N/A mb, Landfalls: 0
AL111944 UNNAMED, Start: 1944-09-30 06:00:00 End: 1944-10-03 06:00:00 Duration: 3 days 0 hours, Max Wind: 40 knots, Min Pressure: N/A mb, Landfalls: 0
AL121944 UNNAMED, Start: 1944-10-11 00:00:00 End: 1944-10-15 18:00:00 Duration: 4 days 18 hours, Max Wind: 70 knots, Min Pressure: N/A mb, Landfalls: 0
AL131944 UNNAMED, Start: 1944-10-12 12:00:00 End: 1944-10-24 12:00:00 Duration: 12 days 0 hours, Max Wind: 125 knots, Min Pressure: 937 mb, Landfalls: 2
AL141944 UNNAMED, Start: 1944-11-01 00:00:00 End: 1944-11-03 18:00:00 Duration: 2 days 18 hours, Max Wind: 60 knots, Min Pressure: N/A mb, Landfalls: 0
AL011945 UNNAMED, Start: 1945-06-20 12:00:00 End: 1945-07-04 12:00:00 Duration: 14 days 0 hours, Max Wind: 85 knots, Min Pressure: N/A mb, Landfalls: 2
AL021945 UNNAMED, Start: 1945-07-19 06:00:00 End: 1945-07-22 06:00:00 Duration: 3 days 0 hours, Max Wind: 35 knots, Min Pressure: N/A mb, Landfalls: 0
AL031945 UNNAMED, Start: 1945-08-02 00:00:00 End: 1945-08-04 18:00:00 Duration: 2 days 18 hours, Max Wind: 50 knots, Min Pressure: N/A mb, Landfalls: 0
AL041945 UNNAMED, Start: 1945-08-17 18:00:00 End: 1945-08-21 06:00:00 Duration: 3 days 12 hours, Max Wind: 60 knots, Min Pressure: N/A mb, Landfalls: 0
AL051945 UNNAMED, Start: 1945-08-24 00:00:00 End: 1945-08-29 18:00:00 Duration: 5 days 18 hours, Max Wind: 100 knots, Min Pressure: 963 mb, Landfalls: 1
AL061945 UNNAMED, Start: 1945-08-29 06:00:00 End: 1945-09-01 18:00:00 Duration: 3 days 12 hours, Max Wind: 60 knots, Min Pressure: 990 mb, Landfalls: 0
AL071945 UNNAMED, Start: 1945-09-03 18:00:00 End: 1945-09-06 18:00:00 Duration: 3 days 0 hours, Max Wind: 35 knots, Min Pressure: N/A mb, Landfalls: 0
AL081945 UNNAMED, Start: 1945-09-09 12:00:00 End: 1945-09-12 18:00:00 Duration: 3 days 6 hours, Max Wind: 50 knots, Min Pressure: 1009 mb, Landfalls: 0
AL091945 UNNAMED, Start: 1945-09-12 00:00:00 End: 1945-09-20 18:00:00 Duration: 8 days 18 hours, Max Wind: 115 knots, Min Pressure: 949 mb, Landfalls: 2
AL101945 UNNAMED, Start: 1945-10-02 06:00:00 End: 1945-10-07 12:00:00 Duration: 5 days 6 hours, Max Wind: 80 knots, Min Pressure: 982 mb, Landfalls: 0
AL111945 UNNAMED, Start: 1945-10-10 12:00:00 End: 1945-10-16 18:00:00 Duration: 6 days 6 hours, Max Wind: 85 knots, Min Pressure: 982 mb, Landfalls: 0
AL011946 UNNAMED, Start: 1946-06-13 12:00:00 End: 1946-06-16 18:00:00 Duration: 3 days 6 hours, Max Wind: 35 knots, Min Pressure: N/A mb, Landfalls: 0
AL021946 UNNAMED, Start: 1946-07-05 06:00:00 End: 1946-07-10 18:00:00 Duration: 5 days 12 hours, Max Wind: 70 knots, Min Pressure: 1005 mb, Landfalls: 0
AL031946 UNNAMED, Start: 1946-08-25 00:00:00 End: 1946-08-26 00:00:00 Duration: 1 days 0 hours, Max Wind: 35 knots, Min Pressure: N/A mb, Landfalls: 0
AL041946 UNNAMED, Start: 1946-09-12 00:00:00 End: 1946-09-17 18:00:00 Duration: 5 days 18 hours, Max Wind: 85 knots, Min Pressure: 975 mb, Landfalls: 1
AL051946 UNNAMED, Start: 1946-10-01 12:00:00 End: 1946-10-06 06:00:00 Duration: 4 days 18 hours, Max Wind: 80 knots, Min Pressure: N/A mb, Landfalls: 0
AL061946 UNNAMED, Start: 1946-10-05 18:00:00 End: 1946-10-14 18:00:00 Duration: 9 days 0 hours, Max Wind: 85 knots, Min Pressure: 977 mb, Landfalls: 2
AL071946 UNNAMED, Start: 1946-10-31 18:00:00 End: 1946-11-03 06:00:00 Duration: 2 days 12 hours, Max Wind: 40 knots, Min Pressure: 1002 mb, Landfalls: 0
AL011947 UNNAMED, Start: 1947-07-31 06:00:00 End: 1947-08-02 12:00:00 Duration: 2 days 6 hours, Max Wind: 45 knots, Min Pressure: N/A mb, Landfalls: 0
AL021947 UNNAMED, Start: 1947-08-09 06:00:00 End: 1947-08-16 06:00:00 Duration: 7 days 0 hours, Max Wind: 95 knots, Min Pressure: 977 mb, Landfalls: 1
AL031947 UNNAMED, Start: 1947-08-18 18:00:00 End: 1947-08-27 18:00:00 Duration: 9 days 0 hours, Max Wind: 70 knots, Min Pressure: 984 mb, Landfalls: 1
AL041947 UNNAMED, Start: 1947-09-04 06:00:00 End: 1947-09-21 12:00:00 Duration: 17 days 6 hours, Max Wind: 125 knots, Min Pressure: 938 mb, Landfalls: 3
AL051947 UNNAMED, Start: 1947-09-07 00:00:00 End: 1947-09-09 00:00:00 Duration: 2 days 0 hours, Max Wind: 50 knots, Min Pressure: N/A mb, Landfalls: 0
AL061947 UNNAMED, Start: 1947-09-20 06:00:00 End: 1947-09-26 00:00:00 Duration: 5 days 18 hours, Max Wind: 55 knots, Min Pressure: 987 mb, Landfalls: 0
AL071947 UNNAMED, Start: 1947-10-05 18:00:00 End: 1947-10-09 06:00:00 Duration: 3 days 12 hours, Max Wind: 50 knots, Min Pressure: N/A mb, Landfalls: 0
AL081947 UNNAMED, Start: 1947-10-08 00:00:00 End: 1947-10-11 00:00:00 Duration: 3 days 0 hours, Max Wind: 50 knots, Min Pressure: N/A mb, Landfalls: 0
AL091947 UNNAMED, Start: 1947-10-08 18:00:00 End: 1947-10-16 18:00:00 Duration: 8 days 0 hours, Max Wind: 90 knots, Min Pressure: 966 mb, Landfalls: 2
AL101947 UNNAMED, Start: 1947-10-17 00:00:00 End: 1947-10-22 06:00:00 Duration: 5 days 6 hours, Max Wind: 105 knots, Min Pressure: 961 mb, Landfalls: 0
AL011948 UNNAMED, Start: 1948-05-22 06:00:00 End: 1948-05-29 00:00:00 Duration: 6 days 18 hours, Max Wind: 45 knots, Min Pressure: N/A mb, Landfalls: 0
AL021948 UNNAMED, Start: 1948-07-07 18:00:00 End: 1948-07-11 18:00:00 Duration: 4 days 0 hours, Max Wind: 35 knots, Min Pressure: N/A mb, Landfalls: 0
AL031948 UNNAMED, Start: 1948-08-26 00:00:00 End: 1948-09-05 18:00:00 Duration: 10 days 18 hours, Max Wind: 105 knots, Min Pressure: N/A mb, Landfalls: 0
AL041948 UNNAMED, Start: 1948-08-30 18:00:00 End: 1948-09-01 18:00:00 Duration: 2 days 0 hours, Max Wind: 50 knots, Min Pressure: 1007 mb, Landfalls: 0
AL051948 UNNAMED, Start: 1948-09-01 18:00:00 End: 1948-09-06 18:00:00 Duration: 5 days 0 hours, Max Wind: 70 knots, Min Pressure: 983 mb, Landfalls: 1
AL061948 UNNAMED, Start: 1948-09-04 06:00:00 End: 1948-09-17 12:00:00 Duration: 13 days 6 hours, Max Wind: 115 knots, Min Pressure: N/A mb, Landfalls: 0
AL071948 UNNAMED, Start: 1948-09-07 12:00:00 End: 1948-09-10 18:00:00 Duration: 3 days 6 hours, Max Wind: 55 knots, Min Pressure: N/A mb, Landfalls: 0
AL081948 UNNAMED, Start: 1948-09-18 06:00:00 End: 1948-09-26 00:00:00 Duration: 7 days 18 hours, Max Wind: 115 knots, Min Pressure: 940 mb, Landfalls: 4
AL091948 UNNAMED, Start: 1948-10-03 12:00:00 End: 1948-10-16 12:00:00 Duration: 13 days 0 hours, Max Wind: 110 knots, Min Pressure: 971 mb, Landfalls: 4
AL101948 UNNAMED, Start: 1948-11-08 18:00:00 End: 1948-11-11 06:00:00 Duration: 2 days 12 hours, Max Wind: 65 knots, Min Pressure: 990 mb, Landfalls: 0
AL011949 UNNAMED, Start: 1949-08-21 00:00:00 End: 1949-08-30 00:00:00 Duration: 9 days 0 hours, Max Wind: 95 knots, Min Pressure: 963 mb, Landfalls: 0
AL021949 UNNAMED, Start: 1949-08-23 06:00:00 End: 1949-09-01 18:00:00 Duration: 9 days 12 hours, Max Wind: 115 knots, Min Pressure: 954 mb, Landfalls: 1
AL031949 UNNAMED, Start: 1949-08-30 18:00:00 End: 1949-09-03 00:00:00 Duration: 3 days 6 hours, Max Wind: 40 knots, Min Pressure: N/A mb, Landfalls: 0
AL041949 UNNAMED, Start: 1949-09-03 00:00:00 End: 1949-09-11 12:00:00 Duration: 8 days 12 hours, Max Wind: 110 knots, Min Pressure: 974 mb, Landfalls: 0
AL051949 UNNAMED, Start: 1949-09-03 06:00:00 End: 1949-09-05 18:00:00 Duration: 2 days 12 hours, Max Wind: 50 knots, Min Pressure: N/A mb, Landfalls: 0
AL061949 UNNAMED, Start: 1949-09-05 06:00:00 End: 1949-09-16 18:00:00 Duration: 11 days 12 hours, Max Wind: 65 knots, Min Pressure: 996 mb, Landfalls: 0
AL071949 UNNAMED, Start: 1949-09-11 18:00:00 End: 1949-09-14 18:00:00 Duration: 3 days 0 hours, Max Wind: 45 knots, Min Pressure: N/A mb, Landfalls: 0
AL081949 UNNAMED, Start: 1949-09-13 06:00:00 End: 1949-09-17 00:00:00 Duration: 3 days 18 hours, Max Wind: 50 knots, Min Pressure: N/A mb, Landfalls: 0
AL091949 UNNAMED, Start: 1949-09-20 12:00:00 End: 1949-09-26 18:00:00 Duration: 6 days 6 hours, Max Wind: 80 knots, Min Pressure: N/A mb, Landfalls: 0
AL101949 UNNAMED, Start: 1949-09-20 12:00:00 End: 1949-09-22 18:00:00 Duration: 2 days 6 hours, Max Wind: 70 knots, Min Pressure: N/A mb, Landfalls: 0
AL111949 UNNAMED, Start: 1949-09-27 06:00:00 End: 1949-10-07 00:00:00 Duration: 9 days 18 hours, Max Wind: 95 knots, Min Pressure: 965 mb, Landfalls: 1
AL121949 UNNAMED, Start: 1949-10-02 18:00:00 End: 1949-10-07 18:00:00 Duration: 5 days 0 hours, Max Wind: 50 knots, Min Pressure: N/A mb, Landfalls: 0
AL131949 UNNAMED, Start: 1949-10-13 06:00:00 End: 1949-10-21 18:00:00 Duration: 8 days 12 hours, Max Wind: 80 knots, Min Pressure: 995 mb, Landfalls: 0
AL141949 UNNAMED, Start: 1949-10-13 06:00:00 End: 1949-10-17 06:00:00 Duration: 4 days 0 hours, Max Wind: 50 knots, Min Pressure: N/A mb, Landfalls: 0
AL151949 UNNAMED, Start: 1949-11-01 12:00:00 End: 1949-11-06 00:00:00 Duration: 4 days 12 hours, Max Wind: 45 knots, Min Pressure: N/A mb, Landfalls: 0
AL161949 UNNAMED, Start: 1949-11-03 06:00:00 End: 1949-11-05 00:00:00 Duration: 1 days 18 hours, Max Wind: 55 knots, Min Pressure: 993 mb, Landfalls: 0
AL011950 ABLE, Start: 1950-08-12 00:00:00 End: 1950-08-24 06:00:00 Duration: 12 days 6 hours, Max Wind: 110 knots, Min Pressure: 953 mb, Landfalls: 1
AL021950 BAKER, Start: 1950-08-18 12:00:00 End: 1950-09-01 18:00:00 Duration: 14 days 6 hours, Max Wind: 90 knots, Min Pressure: 979 mb, Landfalls: 2
AL031950 CHARLIE, Start: 1950-08-21 12:00:00 End: 1950-09-05 12:00:00 Duration: 15 days 0 hours, Max Wind: 95 knots, Min Pressure: 974 mb, Landfalls: 0
AL041950 DOG, Start: 1950-08-30 18:00:00 End: 1950-09-18 00:00:00 Duration: 18 days 6 hours, Max Wind: 125 knots, Min Pressure: 953 mb, Landfalls: 0
AL051950 EASY, Start: 1950-09-01 06:00:00 End: 1950-09-09 18:00:00 Duration: 8 days 12 hours, Max Wind: 105 knots, Min Pressure: 960 mb, Landfalls: 4
AL061950 FOX, Start: 1950-09-08 06:00:00 End: 1950-09-17 12:00:00 Duration: 9 days 6 hours, Max Wind: 120 knots, Min Pressure: 946 mb, Landfalls: 0
AL071950 GEORGE, Start: 1950-09-27 06:00:00 End: 1950-10-07 12:00:00 Duration: 10 days 6 hours, Max Wind: 95 knots, Min Pressure: 960 mb, Landfalls: 0
AL081950 HOW, Start: 1950-10-01 06:00:00 End: 1950-10-04 18:00:00 Duration: 3 days 12 hours, Max Wind: 40 knots, Min Pressure: N/A mb, Landfalls: 0
AL091950 ITEM, Start: 1950-10-08 06:00:00 End: 1950-10-11 18:00:00 Duration: 3 days 12 hours, Max Wind: 90 knots, Min Pressure: 980 mb, Landfalls: 1
AL101950 JIG, Start: 1950-10-11 12:00:00 End: 1950-10-18 00:00:00 Duration: 6 days 12 hours, Max Wind: 100 knots, Min Pressure: N/A mb, Landfalls: 0
AL111950 KING, Start: 1950-10-13 06:00:00 End: 1950-10-20 06:00:00 Duration: 7 days 0 hours, Max Wind: 115 knots, Min Pressure: 955 mb, Landfalls: 2
AL121950 UNNAMED, Start: 1950-10-17 06:00:00 End: 1950-10-24 18:00:00 Duration: 7 days 12 hours, Max Wind: 60 knots, Min Pressure: N/A mb, Landfalls: 0
AL131950 LOVE, Start: 1950-10-18 00:00:00 End: 1950-10-22 18:00:00 Duration: 4 days 18 hours, Max Wind: 70 knots, Min Pressure: 987 mb, Landfalls: 0
AL141950 MIKE, Start: 1950-10-25 12:00:00 End: 1950-10-28 18:00:00 Duration: 3 days 6 hours, Max Wind: 40 knots, Min Pressure: N/A mb, Landfalls: 0
AL151950 UNNAMED, Start: 1950-10-27 12:00:00 End: 1950-10-29 18:00:00 Duration: 2 days 6 hours, Max Wind: 45 knots, Min Pressure: N/A mb, Landfalls: 0
AL161950 UNNAMED, Start: 1950-11-10 00:00:00 End: 1950-11-12 06:00:00 Duration: 2 days 6 hours, Max Wind: 60 knots, Min Pressure: N/A mb, Landfalls: 0
AL011951 UNNAMED, Start: 1951-01-02 12:00:00 End: 1951-01-12 12:00:00 Duration: 10 days 0 hours, Max Wind: 55 knots, Min Pressure: N/A mb, Landfalls: 0
AL021951 ABLE, Start: 1951-05-16 00:00:00 End: 1951-05-24 18:00:00 Duration: 8 days 18 hours, Max Wind: 80 knots, Min Pressure: 973 mb, Landfalls: 1
AL031951 BAKER, Start: 1951-08-02 06:00:00 End: 1951-08-05 18:00:00 Duration: 3 days 12 hours, Max Wind: 50 knots, Min Pressure: 996 mb, Landfalls: 0
AL041951 CHARLIE, Start: 1951-08-12 00:00:00 End: 1951-08-23 18:00:00 Duration: 11 days 18 hours, Max Wind: 115 knots, Min Pressure: 968 mb, Landfalls: 4
AL051951 DOG, Start: 1951-08-27 06:00:00 End: 1951-09-05 12:00:00 Duration: 9 days 6 hours, Max Wind: 80 knots, Min Pressure: 992 mb, Landfalls: 0
AL061951 EASY, Start: 1951-09-01 06:00:00 End: 1951-09-14 18:00:00 Duration: 13 days 12 hours, Max Wind: 130 knots, Min Pressure: 937 mb, Landfalls: 0
AL071951 FOX, Start: 1951-09-02 18:00:00 End: 1951-09-11 06:00:00 Duration: 8 days 12 hours, Max Wind: 100 knots, Min Pressure: N/A mb, Landfalls: 0
AL081951 GEORGE, Start: 1951-09-19 18:00:00 End: 1951-09-22 00:00:00 Duration: 2 days 6 hours, Max Wind: 50 knots, Min Pressure: 999 mb, Landfalls: 0
AL091951 HOW, Start: 1951-09-29 00:00:00 End: 1951-10-11 18:00:00 Duration: 12 days 18 hours, Max Wind: 85 knots, Min Pressure: 963 mb, Landfalls: 0
AL101951 ITEM, Start: 1951-10-12 06:00:00 End: 1951-10-17 18:00:00 Duration: 5 days 12 hours, Max Wind: 55 knots, Min Pressure: 998 mb, Landfalls: 0
AL111951 JIG, Start: 1951-10-15 06:00:00 End: 1951-10-20 00:00:00 Duration: 4 days 18 hours, Max Wind: 65 knots, Min Pressure: 990 mb, Landfalls: 0
AL121951 UNNAMED, Start: 1951-12-03 12:00:00 End: 1951-12-12 06:00:00 Duration: 8 days 18 hours, Max Wind: 70 knots, Min Pressure: N/A mb, Landfalls: 0
AL011952 UNNAMED, Start: 1952-02-02 06:00:00 End: 1952-02-05 06:00:00 Duration: 3 days 0 hours, Max Wind: 60 knots, Min Pressure: N/A mb, Landfalls: 0
AL021952 ABLE, Start: 1952-08-18 06:00:00 End: 1952-09-03 06:00:00 Duration: 16 days 0 hours, Max Wind: 85 knots, Min Pressure: 983 mb, Landfalls: 1
AL031952 UNNAMED, Start: 1952-08-27 18:00:00 End: 1952-08-28 18:00:00 Duration: 1 days 0 hours, Max Wind: 45 knots, Min Pressure: 1000 mb, Landfalls: 0
AL041952 BAKER, Start: 1952-08-31 06:00:00 End: 1952-09-10 00:00:00 Duration: 9 days 18 hours, Max Wind: 95 knots, Min Pressure: 969 mb, Landfalls: 0
AL051952 UNNAMED, Start: 1952-09-08 00:00:00 End: 1952-09-14 12:00:00 Duration: 6 days 12 hours, Max Wind: 45 knots, Min Pressure: N/A mb, Landfalls: 0
AL061952 CHARLIE, Start: 1952-09-24 00:00:00 End: 1952-10-01 00:00:00 Duration: 7 days 0 hours, Max Wind: 105 knots, Min Pressure: 958 mb, Landfalls: 0
AL071952 DOG, Start: 1952-09-24 12:00:00 End: 1952-09-30 18:00:00 Duration: 6 days 6 hours, Max Wind: 60 knots, Min Pressure: 998 mb, Landfalls: 0
AL081952 UNNAMED, Start: 1952-09-25 12:00:00 End: 1952-09-30 12:00:00 Duration: 5 days 0 hours, Max Wind: 40 knots, Min Pressure: N/A mb, Landfalls: 0
AL091952 EASY, Start: 1952-10-06 12:00:00 End: 1952-10-11 12:00:00 Duration: 5 days 0 hours, Max Wind: 90 knots, Min Pressure: 968 mb, Landfalls: 0
AL101952 FOX, Start: 1952-10-20 12:00:00 End: 1952-10-28 12:00:00 Duration: 8 days 0 hours, Max Wind: 125 knots, Min Pressure: 934 mb, Landfalls: 3
AL111952 UNNAMED, Start: 1952-11-24 18:00:00 End: 1952-11-30 18:00:00 Duration: 6 days 0 hours, Max Wind: 50 knots, Min Pressure: 992 mb, Landfalls: 0
AL011953 ALICE, Start: 1953-05-25 18:00:00 End: 1953-06-07 06:00:00 Duration: 12 days 12 hours, Max Wind: 60 knots, Min Pressure: 994 mb, Landfalls: 0
AL021953 UNNAMED, Start: 1953-07-11 18:00:00 End: 1953-07-16 00:00:00 Duration: 4 days 6 hours, Max Wind: 45 knots, Min Pressure: N/A mb, Landfalls: 0
AL031953 BARBARA, Start: 1953-08-11 06:00:00 End: 1953-08-16 18:00:00 Duration: 5 days 12 hours, Max Wind: 80 knots, Min Pressure: 973 mb, Landfalls: 3
AL041953 CAROL, Start: 1953-08-28 06:00:00 End: 1953-09-09 12:00:00 Duration: 12 days 6 hours, Max Wind: 140 knots, Min Pressure: 929 mb, Landfalls: 2
AL051953 UNNAMED, Start: 1953-08-29 18:00:00 End: 1953-09-01 18:00:00 Duration: 3 days 0 hours, Max Wind: 35 knots, Min Pressure: 1007 mb, Landfalls: 0
AL061953 DOLLY, Start: 1953-09-08 06:00:00 End: 1953-09-16 12:00:00 Duration: 8 days 6 hours, Max Wind: 65 knots, Min Pressure: 989 mb, Landfalls: 0
AL071953 EDNA, Start: 1953-09-15 00:00:00 End: 1953-09-21 18:00:00 Duration: 6 days 18 hours, Max Wind: 100 knots, Min Pressure: 962 mb, Landfalls: 0
AL081953 UNNAMED, Start: 1953-09-15 18:00:00 End: 1953-09-21 00:00:00 Duration: 5 days 6 hours, Max Wind: 45 knots, Min Pressure: 1004 mb, Landfalls: 0
AL091953 FLORENCE, Start: 1953-09-23 12:00:00 End: 1953-09-27 18:00:00 Duration: 4 days 6 hours, Max Wind: 100 knots, Min Pressure: 968 mb, Landfalls: 1
AL101953 GAIL, Start: 1953-10-02 06:00:00 End: 1953-10-12 06:00:00 Duration: 10 days 0 hours, Max Wind: 70 knots, Min Pressure: 986 mb, Landfalls: 0
AL111953 UNNAMED, Start: 1953-10-03 18:00:00 End: 1953-10-08 06:00:00 Duration: 4 days 12 hours, Max Wind: 55 knots, Min Pressure: N/A mb, Landfalls: 0
AL121953 HAZEL, Start: 1953-10-07 06:00:00 End: 1953-10-16 12:00:00 Duration: 9 days 6 hours, Max Wind: 75 knots, Min Pressure: 989 mb, Landfalls: 2
AL131953 UNNAMED, Start: 1953-11-23 06:00:00 End: 1953-11-26 18:00:00 Duration: 3 days 12 hours, Max Wind: 45 knots, Min Pressure: 999 mb, Landfalls: 0
AL141953 UNNAMED, Start: 1953-12-07 18:00:00 End: 1953-12-09 18:00:00 Duration: 2 days 0 hours, Max Wind: 55 knots, Min Pressure: N/A mb, Landfalls: 0
AL011954 UNNAMED, Start: 1954-05-28 12:00:00 End: 1954-05-31 18:00:00 Duration: 3 days 6 hours, Max Wind: 45 knots, Min Pressure: 1005 mb, Landfalls: 0
AL021954 UNNAMED, Start: 1954-06-18 00:00:00 End: 1954-06-25 00:00:00 Duration: 7 days 0 hours, Max Wind: 60 knots, Min Pressure: N/A mb, Landfalls: 0
AL031954 ALICE, Start: 1954-06-24 12:00:00 End: 1954-06-27 06:00:00 Duration: 2 days 18 hours, Max Wind: 95 knots, Min Pressure: N/A mb, Landfalls: 1
AL041954 UNNAMED, Start: 1954-07-10 12:00:00 End: 1954-07-14 00:00:00 Duration: 3 days 12 hours, Max Wind: 45 knots, Min Pressure: N/A mb, Landfalls: 0
AL051954 BARBARA, Start: 1954-07-27 12:00:00 End: 1954-07-30 12:00:00 Duration: 3 days 0 hours, Max Wind: 50 knots, Min Pressure: 999 mb, Landfalls: 0
AL061954 CAROL, Start: 1954-08-25 12:00:00 End: 1954-09-01 06:00:00 Duration: 6 days 18 hours, Max Wind: 100 knots, Min Pressure: 955 mb, Landfalls: 2
AL071954 DOLLY, Start: 1954-08-31 12:00:00 End: 1954-09-04 18:00:00 Duration: 4 days 6 hours, Max Wind: 75 knots, Min Pressure: 994 mb, Landfalls: 0
AL081954 EDNA, Start: 1954-09-05 00:00:00 End: 1954-09-14 06:00:00 Duration: 9 days 6 hours, Max Wind: 110 knots, Min Pressure: 943 mb, Landfalls: 3
AL091954 UNNAMED, Start: 1954-09-06 06:00:00 End: 1954-09-08 00:00:00 Duration: 1 days 18 hours, Max Wind: 40 knots, Min Pressure: 1004 mb, Landfalls: 0
AL101954 FLORENCE, Start: 1954-09-10 12:00:00 End: 1954-09-12 18:00:00 Duration: 2 days 6 hours, Max Wind: 55 knots, Min Pressure: 1001 mb, Landfalls: 0
AL111954 UNNAMED, Start: 1954-09-15 12:00:00 End: 1954-09-18 00:00:00 Duration: 2 days 12 hours, Max Wind: 40 knots, Min Pressure: 1004 mb, Landfalls: 0
AL121954 GILDA, Start: 1954-09-24 18:00:00 End: 1954-09-30 06:00:00 Duration: 5 days 12 hours, Max Wind: 60 knots, Min Pressure: 998 mb, Landfalls: 0
AL131954 UNNAMED, Start: 1954-09-25 06:00:00 End: 1954-10-07 00:00:00 Duration: 11 days 18 hours, Max Wind: 85 knots, Min Pressure: N/A mb, Landfalls: 0
AL141954 HAZEL, Start: 1954-10-05 06:00:00 End: 1954-10-18 06:00:00 Duration: 13 days 0 hours, Max Wind: 115 knots, Min Pressure: 938 mb, Landfalls: 5
AL151954 UNNAMED, Start: 1954-11-16 18:00:00 End: 1954-11-21 18:00:00 Duration: 5 days 0 hours, Max Wind: 35 knots, Min Pressure: 1005 mb, Landfalls: 0
AL161954 ALICE, Start: 1954-12-30 06:00:00 End: 1955-01-06 00:00:00 Duration: 6 days 18 hours, Max Wind: 80 knots, Min Pressure: 991 mb, Landfalls: 1
AL011955 BRENDA, Start: 1955-07-31 06:00:00 End: 1955-08-03 06:00:00 Duration: 3 days 0 hours, Max Wind: 60 knots, Min Pressure: N/A mb, Landfalls: 0
AL021955 CONNIE, Start: 1955-08-03 06:00:00 End: 1955-08-15 00:00:00 Duration: 11 days 18 hours, Max Wind: 120 knots, Min Pressure: 944 mb, Landfalls: 1
AL031955 DIANE, Start: 1955-08-07 06:00:00 End: 1955-08-23 18:00:00 Duration: 16 days 12 hours, Max Wind: 90 knots, Min Pressure: 969 mb, Landfalls: 0
AL041955 EDITH, Start: 1955-08-21 12:00:00 End: 1955-09-05 06:00:00 Duration: 14 days 18 hours, Max Wind: 85 knots, Min Pressure: 967 mb, Landfalls: 0
AL051955 UNNAMED, Start: 1955-08-25 18:00:00 End: 1955-08-28 18:00:00 Duration: 3 days 0 hours, Max Wind: 45 knots, Min Pressure: 1004 mb, Landfalls: 0
AL061955 FLORA, Start: 1955-09-02 06:00:00 End: 1955-09-09 18:00:00 Duration: 7 days 12 hours, Max Wind: 90 knots, Min Pressure: 967 mb, Landfalls: 0
AL071955 GLADYS, Start: 1955-09-03 18:00:00 End: 1955-09-06 18:00:00 Duration: 3 days 0 hours, Max Wind: 65 knots, Min Pressure: 996 mb, Landfalls: 1
AL081955 IONE, Start: 1955-09-10 06:00:00 End: 1955-09-27 00:00:00 Duration: 16 days 18 hours, Max Wind: 120 knots, Min Pressure: 938 mb, Landfalls: 1
AL091955 HILDA, Start: 1955-09-12 00:00:00 End: 1955-09-20 06:00:00 Duration: 8 days 6 hours, Max Wind: 105 knots, Min Pressure: 952 mb, Landfalls: 4
AL101955 JANET, Start: 1955-09-21 12:00:00 End: 1955-09-30 12:00:00 Duration: 9 days 0 hours, Max Wind: 150 knots, Min Pressure: 914 mb, Landfalls: 4
AL111955 UNNAMED, Start: 1955-09-23 12:00:00 End: 1955-09-28 18:00:00 Duration: 5 days 6 hours, Max Wind: 45 knots, Min Pressure: N/A mb, Landfalls: 0
AL121955 UNNAMED, Start: 1955-10-10 06:00:00 End: 1955-10-14 12:00:00 Duration: 4 days 6 hours, Max Wind: 55 knots, Min Pressure: N/A mb, Landfalls: 0
AL131955 KATIE, Start: 1955-10-14 18:00:00 End: 1955-10-19 06:00:00 Duration: 4 days 12 hours, Max Wind: 95 knots, Min Pressure: 984 mb, Landfalls: 1
AL011956 UNNAMED, Start: 1956-06-12 00:00:00 End: 1956-06-15 06:00:00 Duration: 3 days 6 hours, Max Wind: 50 knots, Min Pressure: 1001 mb, Landfalls: 0
